[2025-08-14 18:27:24,820 |                       __main__ | CRITICAL]: 


======================================================================================================================================================


New Run


[2025-08-14 18:27:25,359 |                       datasets |   DEBUG]: PyTorch version 2.7.1 available.
[2025-08-14 18:27:25,504 |         urllib3.connectionpool |   DEBUG]: Starting new HTTPS connection (1): s3.amazonaws.com:443
[2025-08-14 18:27:25,699 |         urllib3.connectionpool |   DEBUG]: https://s3.amazonaws.com:443 "HEAD /datasets.huggingface.co/datasets/datasets/json/json.py HTTP/1.1" 200 0
[2025-08-14 18:27:25,705 |                       filelock |   DEBUG]: Attempting to acquire lock 140350975342528 on /data2/Users/aghyad/.cache/huggingface/datasets/_data2_Users_aghyad_.cache_huggingface_datasets_json_default-d328f0d35e69daf1_0.0.0_f4e89e8750d5d5ffbef2c078bf0ddfedef29dc2faff52a6255cf513c05eb1092.lock
[2025-08-14 18:27:25,705 |                       filelock |   DEBUG]: Lock 140350975342528 acquired on /data2/Users/aghyad/.cache/huggingface/datasets/_data2_Users_aghyad_.cache_huggingface_datasets_json_default-d328f0d35e69daf1_0.0.0_f4e89e8750d5d5ffbef2c078bf0ddfedef29dc2faff52a6255cf513c05eb1092.lock
[2025-08-14 18:27:25,705 |                   fsspec.local |   DEBUG]: open file: /data2/Users/aghyad/.cache/huggingface/datasets/json/default-d328f0d35e69daf1/0.0.0/f4e89e8750d5d5ffbef2c078bf0ddfedef29dc2faff52a6255cf513c05eb1092/dataset_info.json
[2025-08-14 18:27:25,706 |                       filelock |   DEBUG]: Attempting to release lock 140350975342528 on /data2/Users/aghyad/.cache/huggingface/datasets/_data2_Users_aghyad_.cache_huggingface_datasets_json_default-d328f0d35e69daf1_0.0.0_f4e89e8750d5d5ffbef2c078bf0ddfedef29dc2faff52a6255cf513c05eb1092.lock
[2025-08-14 18:27:25,706 |                       filelock |   DEBUG]: Lock 140350975342528 released on /data2/Users/aghyad/.cache/huggingface/datasets/_data2_Users_aghyad_.cache_huggingface_datasets_json_default-d328f0d35e69daf1_0.0.0_f4e89e8750d5d5ffbef2c078bf0ddfedef29dc2faff52a6255cf513c05eb1092.lock
[2025-08-14 18:27:25,840 |                       filelock |   DEBUG]: Attempting to acquire lock 140350975343968 on /data2/Users/aghyad/.cache/huggingface/datasets/json/default-d328f0d35e69daf1/0.0.0/f4e89e8750d5d5ffbef2c078bf0ddfedef29dc2faff52a6255cf513c05eb1092_builder.lock
[2025-08-14 18:27:25,840 |                       filelock |   DEBUG]: Lock 140350975343968 acquired on /data2/Users/aghyad/.cache/huggingface/datasets/json/default-d328f0d35e69daf1/0.0.0/f4e89e8750d5d5ffbef2c078bf0ddfedef29dc2faff52a6255cf513c05eb1092_builder.lock
[2025-08-14 18:27:25,840 |                   fsspec.local |   DEBUG]: open file: /data2/Users/aghyad/.cache/huggingface/datasets/json/default-d328f0d35e69daf1/0.0.0/f4e89e8750d5d5ffbef2c078bf0ddfedef29dc2faff52a6255cf513c05eb1092/dataset_info.json
[2025-08-14 18:27:25,841 |                       filelock |   DEBUG]: Attempting to release lock 140350975343968 on /data2/Users/aghyad/.cache/huggingface/datasets/json/default-d328f0d35e69daf1/0.0.0/f4e89e8750d5d5ffbef2c078bf0ddfedef29dc2faff52a6255cf513c05eb1092_builder.lock
[2025-08-14 18:27:25,841 |                       filelock |   DEBUG]: Lock 140350975343968 released on /data2/Users/aghyad/.cache/huggingface/datasets/json/default-d328f0d35e69daf1/0.0.0/f4e89e8750d5d5ffbef2c078bf0ddfedef29dc2faff52a6255cf513c05eb1092_builder.lock
